Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
103,Cifu\Cifu,es ESP,DF,Elche,30-226,1990,5.0,219,173,46,3,0,38,4,9,0,0,0,0,125,40,54,4,161,7,42,1,162,2,3,3,13,Matches
104,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,41-355,1979,2.0,69,33,36,20,0,8,2,0,0,0,0,0,5,3,61,2,54,1,0,3,31,0,4,0,0,Matches
105,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,32-027,1989,9.0,277,169,108,23,0,16,13,0,0,0,0,0,103,7,167,13,211,0,0,36,171,3,8,1,0,Matches
106,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,29-087,1992,30.6,1682,1379,303,36,2,231,42,85,5,2,0,0,944,390,348,1235,83,76,262,4,1290,7,44,34,68,Matches
107,Coke\Coke,es ESP,DF,Levante,34-023,1987,9.2,430,372,58,6,0,54,11,8,0,0,0,0,243,96,91,46,304,20,52,2,349,0,10,16,17,Matches
108,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,30-006,1991,7.9,507,494,13,11,0,86,14,3,0,0,0,0,412,51,44,69,403,21,2,3,445,2,8,10,10,Matches
109,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,24-067,1997,1.1,36,36,0,0,0,6,0,1,0,0,0,0,19,7,10,18,12,3,0,1,17,0,3,2,1,Matches
110,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,24-067,1997,2.4,77,72,5,0,0,21,2,6,4,1,0,1,41,12,24,40,25,8,0,0,49,1,2,1,4,Matches
111,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,26-071,1995,25.7,886,854,32,5,3,154,13,39,8,1,4,0,656,124,106,182,662,27,0,7,690,8,9,28,28,Matches
112,Rober Correa\Rober-Correa,es ESP,DF,Eibar,28-241,1992,11.8,573,443,130,8,0,90,23,28,0,0,0,0,259,130,184,38,327,57,122,2,400,1,21,9,9,Matches
113,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,22-071,1999,22.7,1155,938,217,19,1,158,28,46,0,0,0,0,638,264,253,67,827,42,198,5,880,5,15,26,45,Matches
114,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,32-224,1988,2.3,73,73,0,0,1,24,2,2,0,0,0,0,42,21,10,5,50,5,0,6,56,0,1,0,5,Matches
115,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,33-062,1988,3.9,237,189,48,3,2,26,3,7,1,0,0,0,148,37,52,120,63,8,44,0,200,0,1,4,3,Matches
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,29-008,1992,37.0,1277,994,283,52,0,101,31,0,0,0,0,0,879,61,337,677,354,1,2,229,1046,2,31,6,2,Matches
117,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,28-341,1992,7.3,523,494,29,4,4,58,7,10,17,10,1,0,430,47,46,47,457,9,7,0,454,2,8,8,4,Matches
118,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,28-295,1992,21.8,870,646,224,7,0,106,17,41,0,0,0,0,411,159,300,479,80,73,217,4,606,2,12,18,39,Matches
119,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,21-256,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Cucho\Cucho,co COL,FWMF,Getafe,22-029,1999,16.0,505,489,16,1,1,130,17,31,3,0,2,0,286,112,107,70,352,35,7,7,336,2,15,15,26,Matches
121,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,22-301,1998,35.1,1266,1137,129,20,0,258,34,93,11,3,0,0,729,252,285,774,248,78,98,10,894,5,31,19,74,Matches
122,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,23-136,1998,1.2,20,18,2,0,0,4,2,1,0,0,0,0,12,3,5,0,17,2,1,0,15,0,0,0,0,Matches
123,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,24-311,1996,1.1,33,32,1,0,0,6,0,1,0,0,0,0,18,9,6,0,24,4,0,2,20,1,0,3,1,Matches
124,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,24-004,1997,18.7,988,932,56,7,5,132,27,55,28,6,4,4,801,104,83,468,481,8,19,7,818,1,18,25,40,Matches
125,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-197,2000,20.0,1250,1108,142,6,1,111,4,39,0,0,0,0,1004,175,71,132,958,21,136,0,1117,2,4,20,37,Matches
126,Deyverson\Deyverson,br BRA,FW,Alavés,30-011,1991,9.7,310,300,10,0,4,93,15,13,0,0,0,0,93,83,134,181,19,48,0,5,155,2,14,9,19,Matches
127,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-363,1991,0.2,10,10,0,0,0,2,1,2,0,0,0,0,6,1,3,10,0,0,0,0,5,0,1,0,2,Matches
128,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-151,1996,22.1,952,919,33,31,0,91,37,2,0,0,0,0,727,73,152,81,803,45,2,1,819,5,25,9,15,Matches
129,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-341,1988,8.7,372,282,90,11,0,52,12,22,4,0,3,0,152,72,148,29,240,20,75,1,254,1,12,9,13,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-061,1986,25.1,881,860,21,19,2,187,31,7,0,0,0,0,483,117,281,83,603,130,0,5,616,4,36,22,21,Matches
131,Djené\Djene,tg TOG,DF,Getafe,29-139,1991,31.7,904,830,74,50,0,125,28,7,0,0,0,0,516,127,261,196,559,85,24,6,691,3,17,15,9,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,1074,714,360,125,0,59,56,0,0,0,0,0,252,32,790,726,151,2,0,100,580,3,49,4,3,Matches
