Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
104,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,41-355,1979,2.0,1,0.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,32-027,1989,9.0,2,0.22,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,29-087,1992,30.6,42,1.37,33,6,0,1,2,0,5,0.16,4,1,0,0,0,0,Matches
107,Coke\Coke,es ESP,DF,Levante,34-023,1987,9.2,8,0.87,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,30-006,1991,7.9,7,0.89,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
109,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,24-067,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,24-067,1997,2.4,5,2.08,3,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
111,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,26-071,1995,25.7,76,2.96,56,2,9,5,2,2,14,0.55,11,0,2,0,1,0,Matches
112,Rober Correa\Rober-Correa,es ESP,DF,Eibar,28-241,1992,11.8,11,0.93,10,0,0,0,1,0,2,0.17,1,0,0,0,1,0,Matches
113,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,22-071,1999,22.7,31,1.36,24,0,1,1,2,3,2,0.09,1,0,1,0,0,0,Matches
114,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,32-224,1988,2.3,9,3.89,7,0,0,1,1,0,3,1.30,2,0,0,0,1,0,Matches
115,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,33-062,1988,3.9,7,1.79,6,0,0,0,1,0,1,0.26,1,0,0,0,0,0,Matches
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,29-008,1992,37.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,28-341,1992,7.3,24,3.30,18,1,1,1,3,0,4,0.55,4,0,0,0,0,0,Matches
