Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
115,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,33-062,1988,3.9,1,0,0,8,9,0,7,8,3,0,0,0,30,6,5,54.5,Matches
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,29-008,1992,37.0,0,0,0,1,3,0,0,0,0,0,1,0,171,0,0,,Matches
117,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,28-341,1992,7.3,0,0,0,9,13,1,10,4,6,0,0,0,39,3,9,25.0,Matches
118,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,28-295,1992,21.8,4,0,0,13,4,2,41,10,17,0,1,0,186,30,29,50.8,Matches
119,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,21-256,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
120,Cucho\Cucho,co COL,FWMF,Getafe,22-029,1999,16.0,5,0,0,34,31,10,31,5,10,0,0,0,98,40,72,35.7,Matches
121,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,22-301,1998,35.1,8,0,0,68,59,8,93,51,48,0,0,0,285,69,101,40.6,Matches
122,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,23-136,1998,1.2,0,0,0,2,1,1,1,1,0,0,0,0,4,0,9,0.0,Matches
123,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,24-311,1996,1.1,0,0,0,3,0,3,1,0,0,0,0,0,8,6,6,50.0,Matches
124,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,24-004,1997,18.7,2,0,0,14,28,10,55,14,9,0,0,0,72,8,12,40.0,Matches
125,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-197,2000,20.0,1,0,0,16,10,3,39,14,18,0,0,0,138,5,9,35.7,Matches
126,Deyverson\Deyverson,br BRA,FW,Alavés,30-011,1991,9.7,4,0,0,16,25,11,13,10,6,0,0,0,73,65,49,57.0,Matches
127,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-363,1991,0.2,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
128,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-151,1996,22.1,4,1,0,21,8,4,2,8,15,0,1,0,177,48,13,78.7,Matches
129,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-341,1988,8.7,2,0,0,9,1,0,22,15,15,0,1,0,87,16,13,55.2,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-061,1986,25.1,9,2,1,39,19,2,7,39,35,0,0,0,342,85,69,55.2,Matches
131,Djené\Djene,tg TOG,DF,Getafe,29-139,1991,31.7,8,2,1,35,35,1,7,52,37,1,2,0,345,70,43,61.9,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,0,0,0,1,4,0,0,0,1,0,0,0,198,0,0,,Matches
133,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-195,1990,28.0,1,0,0,0,1,0,0,0,0,0,0,0,141,0,0,,Matches
134,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,20-138,2001,3.0,1,0,0,5,2,0,0,5,4,0,0,0,13,7,11,38.9,Matches
135,John Donald\John-Donald,es ESP,DF,Elche,20-262,2000,0.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
